|------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------------|-------------------|-------------------|--------------------|-------------------|----------------------------|----------------------------|-------------|---------------------------------|--------------------|------------------|-------------------|-------------------|-------------------|----------------|----------------|---------------------|--------------------|----------|-------------|-------------|------------------|-----------------|--|
| day        | co2         | dp          | hd          | hmdt        | hmdt_abs    | hmdt_sat    | ior         | temp        | vpd         | img_growth_length | img_stem_diameter | img_flower_height | img_flower_cluster | img_fruit_cluster | plant_leaf_length_width_rt | plant_leaf_width_length_rt | plant_lai   | plant_flower_height_stem_dia_rt | fruit_weight_fresh | man_plant_height | man_growth_length | man_flower_height | man_stem_diameter | man_fl_cluster | man-fr-cluster | man_leaf_max_length | man_leaf_max_width | man_leaf | man_flower  | man_fruit   | man_fruit_length | man_fruit_width |  |
|------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------------|-------------------|-------------------|--------------------|-------------------|----------------------------|----------------------------|-------------|---------------------------------|--------------------|------------------|-------------------|-------------------|-------------------|----------------|----------------|---------------------|--------------------|----------|-------------|-------------|------------------|-----------------|--|
| 2021-10-12 |    662759.4 | 19258.33209 |  7428.38743 |    101058.8 | 16763.31797 | 16257.95275 |    181436.3 |     27841.4 |  1112.93363 |            19.399 |            13.135 |           14.3575 |        2.083333333 |                   |                0.719335163 |                1.502535329 | 1.538345864 |                     1.249439199 |                    |            55.57 |           20.5875 |       14.68333333 |            11.475 |              1 |                |         40.35833333 |        25.33333333 |       10 | 2.083333333 |             |                  |                 |  |
|------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------------|-------------------|-------------------|--------------------|-------------------|----------------------------|----------------------------|-------------|---------------------------------|--------------------|------------------|-------------------|-------------------|-------------------|----------------|----------------|---------------------|--------------------|----------|-------------|-------------|------------------|-----------------|--|
| 2021-10-19 |      496630 | 12927.53717 |     6003.06 |     72858.3 | 11302.01759 | 10966.58715 | 265865.2497 |     19431.8 |      803.22 |            14.768 |           11.8575 |          17.22725 |               2.05 |                   |                0.703920847 |                1.427078107 | 1.346384194 |                     1.526807207 |                    |            71.12 |             15.55 |           18.1775 |            11.855 |           1.25 |                |             37.4875 |             26.355 |       10 |       2.025 |             |                  |                 |  |
|------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------------|-------------------|-------------------|--------------------|-------------------|----------------------------|----------------------------|-------------|---------------------------------|--------------------|------------------|-------------------|-------------------|-------------------|----------------|----------------|---------------------|--------------------|----------|-------------|-------------|------------------|-----------------|--|
| 2021-10-26 |      491262 | 12071.43101 |     7361.71 |     61703.9 | 10774.27197 | 10456.77369 | 207683.2433 |     19854.3 |      985.18 |          12.99325 |             9.973 |       13.27473684 |              1.925 |                   |                0.610480166 |                 1.68885939 | 0.726820425 |                     1.353307354 |                    |          84.5925 |           13.4725 |             13.69 |           9.66475 |           1.85 |                |                30.1 |             18.085 |       10 |       1.925 |             |                  |                 |  |
|------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------------|-------------------|-------------------|--------------------|-------------------|----------------------------|----------------------------|-------------|---------------------------------|--------------------|------------------|-------------------|-------------------|-------------------|----------------|----------------|---------------------|--------------------|----------|-------------|-------------|------------------|-----------------|--|
| 2021-11-02 |      533457 | 15237.12806 |     2996.11 |     82851.5 | 13223.53841 | 12817.30172 | 193370.8977 |     20453.9 |      400.29 |            10.419 |       12.47263158 |       16.51205128 |              2.825 |                   |                0.809681219 |                1.279857621 |   0.8316081 |                     1.421192186 |                    |         95.88375 |          11.29125 |            17.587 |          12.41175 |           2.25 |                |              28.025 |              22.14 |       10 |        2.95 |             |                  |                 |  |
|------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------------|-------------------|-------------------|--------------------|-------------------|----------------------------|----------------------------|-------------|---------------------------------|--------------------|------------------|-------------------|-------------------|-------------------|----------------|----------------|---------------------|--------------------|----------|-------------|-------------|------------------|-----------------|--|
